# commit: 5f2c9eaae1613ce6716eb0f8780ee028e0cae07e
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"lambda_usd_per_qaly","h_per_year","pi_cure","price_usd_per_course","expected_net_benefit_usd","prob_treg_favoured","evpi_per_patient_usd"
50000,0,0.25,20000,37417.3476045186,1,0
50000,0.05,0.25,20000,7090.98557938039,0.833,606.408975864731
50000,0.1,0.25,20000,-3472.01082191218,0.235,588.026409957837
1e+05,0,0.25,20000,63441.6330962351,1,0
1e+05,0.05,0.25,20000,19253.2088920632,0.955,182.455088548806
1e+05,0.1,0.25,20000,3828.69351239693,0.698,1516.8735684895
150000,0,0.25,20000,89465.9185879516,1,0
150000,0.05,0.25,20000,31415.4322047459,0.98,99.17385618341
150000,0.1,0.25,20000,11129.397846706,0.851,772.016510477119
