# commit: 843a4593a9392c776349f95e968cd36a2910a22e
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"scenario","label","comparator_therapy","lambda_usd_per_qaly","h_per_year","comparator_discounted_cost_usd","comparator_discounted_qaly","intercept_a_usd_per_course","value_of_one_cure_b_usd","required_cure_fraction_at_median_benchmark"
"S7","S7: pre-pandemic (2019) life table","IFX",150000,0,139943.764102751,17.5841084118936,-3742.55359829729,450210.01142977,0.0941252988443999
"S7","S7: pre-pandemic (2019) life table","IFX",150000,0.05,139943.764102751,17.5841084118936,-3742.55359829729,218816.264048357,0.193660887379025
"S7","S7: pre-pandemic (2019) life table","IFX",150000,0.1,139943.764102751,17.5841084118936,-3742.55359829729,138431.671531086,0.306116016659179
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",50000,0,257098.588864209,32.8994476517717,-1467.9214282399,448157.060252876,0.0894809504415323
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",50000,0.05,257098.588864209,32.8994476517717,-1467.9214282399,170464.549904393,0.235248441514684
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",50000,0.1,257098.588864209,32.8994476517717,-1467.9214282399,95229.0533346583,0.421105936626125
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",1e+05,0,257098.588864209,32.8994476517717,-2063.56684062164,654951.009428285,0.06213772408171
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",1e+05,0.05,257098.588864209,32.8994476517717,-2063.56684062164,250035.790992038,0.162765358308995
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",1e+05,0.1,257098.588864209,32.8994476517717,-2063.56684062164,139930.466284073,0.290838487083097
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",150000,0,257098.588864209,32.8994476517717,-2659.21225300524,861744.958603693,0.0479176699683669
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",150000,0.05,257098.588864209,32.8994476517717,-2659.21225300524,329607.032079685,0.125278912475669
"disc-0","Discount rate 0% (CHEERS item 24)","IFX",150000,0.1,257098.588864209,32.8994476517717,-2659.21225300524,184631.879233489,0.223649408188367
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",50000,0,102809.125592421,12.731750805288,-1765.39956000459,176635.099430043,0.228714439885575
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",50000,0.05,102809.125592421,12.731750805288,-1765.39956000459,97625.0723772941,0.413817852796504
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",50000,0.1,102809.125592421,12.731750805288,-1765.39956000459,66018.7310324062,0.611932359173107
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",1e+05,0,102809.125592421,12.731750805288,-2791.192255734,257356.206257002,0.160962858166462
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",1e+05,0.05,102809.125592421,12.731750805288,-2791.192255734,142198.692767067,0.291316254178664
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",1e+05,0.1,102809.125592421,12.731750805288,-2791.192255734,96072.0308736134,0.431184707446234
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",150000,0,102809.125592421,12.731750805288,-3816.98495146306,338077.313083962,0.125564720195203
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",150000,0.05,102809.125592421,12.731750805288,-3816.98495146306,186772.31315684,0.227285203594851
"disc-5","Discount rate 5% (CHEERS item 24)","IFX",150000,0.1,102809.125592421,12.731750805288,-3816.98495146306,126125.330714821,0.336574603857473
