# commit: a97e75530ae93c0683ff5c53496ee5df0a088578
# spec_sha256: a85c11b0f32710be93f7ffc049a0cf15d689ac7bef6e9d8aaeaebf2be8c981b7
"leg","maintenance_cap","induction_window_weeks","h_per_year","pi_cure","lambda_usd_per_qaly","price_source","price_usd_per_course","arrangement","installment_length_years","installment_financing_rate_per_year","rebate_share","outcome_observation_years","reporting_horizon","reporting_horizon_years","discounted","route_model_usd","route_independent_usd","agreement_usd","route_model_share","route_independent_share","agreement_share","timing_gap_closed_share"
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-615179690.006838,-615179690.006836,-1.54972076416016e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,FALSE,-615179690.006838,-615179690.006836,-1.54972076416016e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.25,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,677599180.330903,677599180.330903,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,687913348.512464,687913348.512464,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,564748171.034449,564748171.034449,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,573261123.760387,573261123.760387,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,1453525323.2128,1453525323.21281,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,1513033280.6287,1513033280.6287,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,802427441.41182,802427441.41182,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,851543222.673196,851543222.673196,1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,1527334139.89023,1527334139.89023,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,1670417821.44092,1670417821.44092,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,756364823.651446,756364823.651446,-4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,851543222.673195,851543222.673196,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,4.76837158203125e-07,0,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,229500735.074124,229500735.074124,5.36441802978516e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,116994558.512497,116994558.512497,-7.45058059692383e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,4.76837158203125e-07,0,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,229500735.074124,229500735.074124,5.36441802978516e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,116994558.512497,116994558.512497,-7.45058059692383e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,677599180.330903,677599180.330903,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,687913348.512464,687913348.512464,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,564748171.034449,564748171.034449,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,573261123.760387,573261123.760387,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,1485920025.06368,1485920025.06368,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,1547805034.15304,1547805034.15304,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,808813969.284952,808813969.284952,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,859891685.640581,859891685.64058,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,1565070848.55774,1565070848.55774,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,1719783371.28116,1719783371.28116,-4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,757736252.929324,757736252.929324,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,859891685.64058,859891685.64058,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-257854204.539034,-257854204.539034,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,FALSE,-127694290.88907,-127694290.88907,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,FALSE,4.76837158203125e-07,0,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,FALSE,-257854204.539034,-257854204.539034,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,FALSE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,FALSE,-127694290.88907,-127694290.88907,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"frontier_P_star",171978.337128116,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,FALSE,4.76837158203125e-07,0,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,1616592812.39973,1616592812.39973,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,1641200000,1641200000,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,1347356756.93164,1347356756.93164,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,1367666666.66667,1367666666.66667,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,3467770709.22565,3467770709.22565,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,3609742746.72448,3609742746.72448,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,1914403783.11138,1914403783.11138,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,2031582524.27185,2031582524.27185,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,3643861244.74576,3643861244.74576,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,3985225369.55708,3985225369.55708,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,1804509174.39097,1804509174.39097,4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,2031582524.27184,2031582524.27184,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,547534958.026516,547534958.026516,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,279121592.633596,279121592.633598,-1.31130218505859e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,547534958.026517,547534958.026516,9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,279121592.633597,279121592.633598,-3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,1616592812.39973,1616592812.39973,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,1641200000,1641200000,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,1347356756.93164,1347356756.93164,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,1367666666.66667,1367666666.66667,-2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,3545056874.39836,3545056874.39836,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,3692700000,3692700000,-4.76837158203125e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,1929640541.58983,1929640541.58983,1.19209289550781e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,2051500000,2051500000,2.38418579101562e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,3733892185.9959,3733892185.9959,9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,4.103e+09,4.103e+09,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,1807781083.17966,1807781083.17966,2.14576721191406e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,2051500000,2051500000,9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-615179690.006836,-615179690.006836,3.57627868652344e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,FALSE,1.9073486328125e-06,0,1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,FALSE,-615179690.006838,-615179690.006836,-1.54972076416016e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,FALSE,-1.9073486328125e-06,0,-1.9073486328125e-06,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,FALSE,-304648646.025429,-304648646.025429,4.17232513427734e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0,0.5,1e+05,"observed_analog_list_price",410300,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,FALSE,9.5367431640625e-07,0,9.5367431640625e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,TRUE,158045560.764126,158045560.764126,-2.98023223876953e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,TRUE,160451272.785906,160451272.785906,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,TRUE,131723803.647557,131723803.647557,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,TRUE,133709393.988255,133709393.988255,-1.49011611938477e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,TRUE,339025240.083437,339025240.083437,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,TRUE,352905080.515253,352905080.515253,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,TRUE,187160933.235665,187160933.235665,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,TRUE,198616866.798087,198616866.798087,-8.94069671630859e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,TRUE,356240662.061108,356240662.061108,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,TRUE,389613991.520908,389613991.520908,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,TRUE,176417130.017594,176417130.017594,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,TRUE,198616866.798087,198616866.798087,-2.98023223876953e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"10yr",10,TRUE,53529539.9159957,53529539.9159955,1.78813934326172e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"10yr",10,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"10yr",10,TRUE,27288212.7711978,27288212.7711978,7.45058059692383e-09,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"30yr",30,TRUE,53529539.9159956,53529539.9159955,5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"30yr",30,TRUE,0,0,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"30yr",30,TRUE,27288212.7711978,27288212.7711978,7.45058059692383e-09,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"1yr",1,FALSE,158045560.764126,158045560.764126,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"1yr",1,FALSE,160451272.785906,160451272.785906,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"1yr",1,FALSE,131723803.647557,131723803.647557,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"1yr",1,FALSE,133709393.988255,133709393.988255,-1.49011611938477e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"3yr",3,FALSE,346581091.637607,346581091.637607,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"3yr",3,FALSE,361015363.768288,361015363.768288,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"3yr",3,FALSE,188650548.938199,188650548.938199,5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"3yr",3,FALSE,200564090.982382,200564090.982382,-2.98023223876953e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"5yr",5,FALSE,365042501.638063,365042501.638063,-1.19209289550781e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_5yr",5,0,NA,NA,"5yr",5,FALSE,401128181.964764,401128181.964764,0,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_3yr",3,0.03,NA,NA,"5yr",5,FALSE,176737006.894016,176737006.894016,1.49011611938477e-07,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_interest_free_3yr",3,0,NA,NA,"5yr",5,FALSE,200564090.982382,200564090.982382,-5.96046447753906e-08,NA,NA,NA,NA
"T19b_installment_delta","off",8,0.05,0.25,1e+05,"frontier_P_star",40112.8181964764,"installment_pv_neutral_5yr",5,0.03,NA,NA,"10yr",10,FALSE,-60142800.5445018,-60142800.5445014,-3.57627868652344e-07,NA,NA,NA,NA
