# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"scenario_id","scenario_group_id","uptake_shape","uptake_ramp_period_years","uptake_logistic_steepness_per_year","maintenance_cap","induction_window_weeks","price_source","price_usd_per_course","pi_cure","h_per_year","lambda_usd_per_qaly","terminal_uptake_share","assumed_eligible_population_patients","reporting_horizon","reporting_horizon_years","horizon_class","is_base_case_horizon","discounted","discounting_base_case","patients_newly_treated_first_year_patients","patients_ever_treated_patients","final_year_net_budget_impact_usd_per_year","final_year_net_budget_impact_usd_pmpm","cumulative_net_budget_impact_usd","offset_captured_share","required_cure_fraction_all_treated"
"s8-imm-capon-h00-pi025-pstar-u025-n100000-1yr-nom","capon-h00-pi025-pstar-u025-n100000-1yr-nom","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,25000,25000,2092411740.67,174.37,2092411740.67,NA,0.25
"s8-imm-capon-h00-pi025-pstar-u100-n100000-1yr-nom","capon-h00-pi025-pstar-u100-n100000-1yr-nom","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,1e+05,1e+05,8369646962.66,697.47,8369646962.66,NA,0.25
"s8-lin-capon-h00-pi025-analog-u025-n100000-1yr-nom","capon-h00-pi025-analog-u025-n100000-1yr-nom","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,5000,5000,2043990612.81,170.33,2043990612.81,NA,1.175122
"s8-lin-capon-h00-pi025-analog-u100-n100000-1yr-nom","capon-h00-pi025-analog-u100-n100000-1yr-nom","linear_ramp",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,20000,20000,8175962451.26,681.33,8175962451.26,NA,1.175122
"s8-log-capon-h00-pi025-analog-u025-n100000-1yr-nom","capon-h00-pi025-analog-u025-n100000-1yr-nom","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,3140.67544054163,3140.67544054163,1283902223.67,106.99,1283902223.67,NA,1.175122
"s8-log-capon-h00-pi025-analog-u100-n100000-1yr-nom","capon-h00-pi025-analog-u100-n100000-1yr-nom","logistic",5,1,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,12562.7017621665,12562.7017621665,5135608894.69,427.97,5135608894.69,NA,1.175122
"s8-imm-capon-h00-pi025-analog-u025-n100000-1yr-nom","capon-h00-pi025-analog-u025-n100000-1yr-nom","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,0.25,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,25000,25000,10219953064.07,851.66,10219953064.07,NA,1.175122
"s8-imm-capon-h00-pi025-analog-u100-n100000-1yr-nom","capon-h00-pi025-analog-u100-n100000-1yr-nom","immediate_full_uptake",5,NA,"on",8,"observed_analog_list_price",410300,0.25,0,1e+05,1,1e+05,"1yr",1,"bia",FALSE,FALSE,TRUE,1e+05,1e+05,40879812256.28,3406.65,40879812256.28,NA,1.175122
"s8-lin-capon-h00-pi025-pstar-u025-n100000-3yr-disc","capon-h00-pi025-pstar-u025-n100000-3yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,5000,15000,382128341.98,31.84,1199607479.12,0.126113,0.25
"s8-lin-capon-h00-pi025-pstar-u100-n100000-3yr-disc","capon-h00-pi025-pstar-u100-n100000-3yr-disc","linear_ramp",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,20000,60000,1528513367.94,127.38,4798429916.49,0.126113,0.25
"s8-log-capon-h00-pi025-pstar-u025-n100000-3yr-disc","capon-h00-pi025-pstar-u025-n100000-3yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,3140.67544054163,16109.032563919,558000439.83,46.5,1283549726.98,0.126113,0.25
"s8-log-capon-h00-pi025-pstar-u100-n100000-3yr-disc","capon-h00-pi025-pstar-u100-n100000-3yr-disc","logistic",5,1,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,1,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,12562.7017621665,64436.1302556758,2232001759.31,186,5134198907.92,0.126113,0.25
"s8-imm-capon-h00-pi025-pstar-u025-n100000-3yr-disc","capon-h00-pi025-pstar-u025-n100000-3yr-disc","immediate_full_uptake",5,NA,"on",8,"frontier_P_star",85198.35,0.25,0,1e+05,0.25,1e+05,"3yr",3,"bia",TRUE,TRUE,FALSE,25000,25000,-26160352.37,-2.18,2029692069.7,0.126113,0.25
