# commit: 843a4593a9392c776349f95e968cd36a2910a22e
# spec_sha256: 33fb719c79072b1c1c98442899a3d3f77128b62342937afc902080c73dda6635
"lambda_usd_per_qaly","h_per_year","n_draws","a_mean","a_lo","a_median","a_hi","b_mean","b_lo","b_median","b_hi"
50000,0,1000,-1837.78533826896,-2922.79557011804,-1786.02525378508,-1034.88467200468,237020.53177115,134765.906460763,237410.34960641,340851.661118094
50000,0.05,1000,-1837.78533826896,-2922.79557011804,-1786.02525378508,-1034.88467200468,115715.083670597,65085.7847788223,115939.451684276,167012.461077901
50000,0.1,1000,-1837.78533826896,-2922.79557011804,-1786.02525378508,-1034.88467200468,73463.0980654271,41087.9992986962,73633.7517074238,106263.435480131
1e+05,0,1000,-2899.38384723869,-4666.08251315462,-2806.84812720178,-1609.78326681828,345364.067773895,181064.850397574,344343.290864358,519600.707494861
1e+05,0.05,1000,-2899.38384723869,-4666.08251315462,-2806.84812720178,-1609.78326681828,168610.370957207,87498.0519257279,168268.845647088,254779.30709491
1e+05,0.1,1000,-2899.38384723869,-4666.08251315462,-2806.84812720178,-1609.78326681828,106912.309438542,55117.0572736396,106730.153659123,162004.063431475
150000,0,1000,-3960.98235620841,-6403.15747985257,-3848.85314632603,-2212.85072356823,453707.60377664,227242.793290441,451519.005963271,697958.464896098
150000,0.05,1000,-3960.98235620841,-6403.15747985257,-3848.85314632603,-2212.85072356823,221505.658243817,109354.395375792,220631.366014608,342417.670596274
150000,0.1,1000,-3960.98235620841,-6403.15747985257,-3848.85314632603,-2212.85072356823,140361.520811658,68738.7679027915,139788.258221956,217549.916068603
