# commit: 4a95e874c3b92973d5ed4577bb8cebe7d09f8123
# spec_sha256: 7377ef3cb2949720c28e3ecdd800621e5460ca5e300d5f815f68374800f993b4
"analog","readout_weeks_from_treatment","years_from_landmark","comparable","drug_free_remission_share","h_per_year","pi_cure_assessed_at_landmark"
"PolTREG PTG-007",104,1.76923076923077,TRUE,0.5,0,0.5
"Ovasave/CATS1",8,-0.0769230769230769,FALSE,NA,0,0.5
"PolTREG PTG-007",104,1.76923076923077,TRUE,0.457669157689402,0.05,0.5
"Ovasave/CATS1",8,-0.0769230769230769,FALSE,NA,0.05,0.5
"PolTREG PTG-007",104,1.76923076923077,TRUE,0.418922115800253,0.1,0.5
"Ovasave/CATS1",8,-0.0769230769230769,FALSE,NA,0.1,0.5
