# commit: 883a7a569a4b36623c3a0509d38be664e899c028
# spec_sha256: 72c494e5c8fb78b58130275e379db2640b88dace9f0ae67dd922f8e14fca2026
"maintenance_cap","induction_window_weeks","pi_cure","h_per_year","price_source","price_usd_per_course","reporting_horizon","reporting_horizon_years","bia_route_usd","frontier_route_usd","agreement_usd"
"on",8,0.75,0.05,"observed_analog_list_price",410300,"3yr",3,397866.016639361,NA,NA
"on",8,0.75,0.05,"observed_analog_list_price",410300,"30yr",30,366009.942149332,NA,NA
"on",8,0.75,0.05,"observed_analog_list_price",410300,"40yr",40,364106.882753559,NA,NA
"on",8,0.75,0.05,"observed_analog_list_price",410300,"lifetime",65,363337.191002662,363337.191002662,5.82076609134674e-11
"on",8,1,0.05,"frontier_P_star",169389.871238735,"3yr",3,152562.370400367,NA,NA
"on",8,1,0.05,"frontier_P_star",169389.871238735,"30yr",30,110080.495902896,NA,NA
"on",8,1,0.05,"frontier_P_star",169389.871238735,"40yr",40,107541.28256495,NA,NA
"on",8,1,0.05,"frontier_P_star",169389.871238735,"lifetime",65,106513.102105049,106513.102105049,-1.74622982740402e-10
"on",8,1,0.05,"observed_analog_list_price",410300,"3yr",3,393472.499161632,NA,NA
"on",8,1,0.05,"observed_analog_list_price",410300,"30yr",30,350990.624664161,NA,NA
"on",8,1,0.05,"observed_analog_list_price",410300,"40yr",40,348451.411326215,NA,NA
"on",8,1,0.05,"observed_analog_list_price",410300,"lifetime",65,347423.230866314,347423.230866314,-1.16415321826935e-10
"on",8,0.25,0.1,"frontier_P_star",24689.9245620624,"3yr",3,21371.2900908359,NA,NA
"on",8,0.25,0.1,"frontier_P_star",24689.9245620624,"30yr",30,15449.7972496697,NA,NA
"on",8,0.25,0.1,"frontier_P_star",24689.9245620624,"40yr",40,15346.8156192695,NA,NA
"on",8,0.25,0.1,"frontier_P_star",24689.9245620624,"lifetime",65,15334.9970110305,15334.9970110307,-1.38243194669485e-10
"on",8,0.25,0.1,"observed_analog_list_price",410300,"3yr",3,406981.365528773,NA,NA
"on",8,0.25,0.1,"observed_analog_list_price",410300,"30yr",30,401059.872687607,NA,NA
"on",8,0.25,0.1,"observed_analog_list_price",410300,"40yr",40,400956.891057207,NA,NA
"on",8,0.25,0.1,"observed_analog_list_price",410300,"lifetime",65,400945.072448968,400945.072448968,-1.74622982740402e-10
"on",8,0.5,0.1,"frontier_P_star",52035.2106657871,"3yr",3,44651.372650785,NA,NA
"on",8,0.5,0.1,"frontier_P_star",52035.2106657871,"30yr",30,32787.0614361565,NA,NA
"on",8,0.5,0.1,"frontier_P_star",52035.2106657871,"40yr",40,32575.6957446115,NA,NA
"on",8,0.5,0.1,"frontier_P_star",52035.2106657871,"lifetime",65,32546.2841520145,32546.2841520147,-2.18278728425503e-10
"on",8,0.5,0.1,"observed_analog_list_price",410300,"3yr",3,402916.161984998,NA,NA
"on",8,0.5,0.1,"observed_analog_list_price",410300,"30yr",30,391051.850770369,NA,NA
"on",8,0.5,0.1,"observed_analog_list_price",410300,"40yr",40,390840.485078824,NA,NA
"on",8,0.5,0.1,"observed_analog_list_price",410300,"lifetime",65,390811.073486227,390811.073486228,-1.74622982740402e-10
"on",8,0.75,0.1,"frontier_P_star",79380.4967695153,"3yr",3,67931.4552107377,NA,NA
"on",8,0.75,0.1,"frontier_P_star",79380.4967695153,"30yr",30,50124.3256226466,NA,NA
"on",8,0.75,0.1,"frontier_P_star",79380.4967695153,"40yr",40,49804.5758699569,NA,NA
"on",8,0.75,0.1,"frontier_P_star",79380.4967695153,"lifetime",65,49757.5712930017,49757.5712930022,-4.07453626394272e-10
"on",8,0.75,0.1,"observed_analog_list_price",410300,"3yr",3,398850.958441222,NA,NA
"on",8,0.75,0.1,"observed_analog_list_price",410300,"30yr",30,381043.828853131,NA,NA
"on",8,0.75,0.1,"observed_analog_list_price",410300,"40yr",40,380724.079100442,NA,NA
"on",8,0.75,0.1,"observed_analog_list_price",410300,"lifetime",65,380677.074523486,380677.074523487,-3.49245965480804e-10
"on",8,1,0.1,"frontier_P_star",106725.782873251,"3yr",3,91211.5377706978,NA,NA
"on",8,1,0.1,"frontier_P_star",106725.782873251,"30yr",30,67461.5898091445,NA,NA
"on",8,1,0.1,"frontier_P_star",106725.782873251,"40yr",40,67033.4559953101,NA,NA
"on",8,1,0.1,"frontier_P_star",106725.782873251,"lifetime",65,66968.8584339968,66968.8584339971,-2.91038304567337e-10
"on",8,1,0.1,"observed_analog_list_price",410300,"3yr",3,394785.754897447,NA,NA
