analog,readout_weeks_from_treatment,indication,product_class,reported_endpoint,citation_key
PolTREG PTG-007,104,Type 1 diabetes,Autologous polyclonal Treg,Insulin dose at or below 0.5 IU/kg with fasting C-peptide above 0.5 ng/mL,marek_trzonkowska_2016
Ovasave/CATS1,8,Crohn's disease,Autologous antigen-specific Tr1,Reduction of 100 points in the Crohn's Disease Activity Index,desreumaux_2012
