disease,prevalence_per_100k,prevalence_ci_low_per_100k,prevalence_ci_high_per_100k,prevalence_patients,incidence_per_100k_person_years,incidence_ci_low_per_100k_person_years,incidence_ci_high_per_100k_person_years,census_population_patients,census_year
crohns_disease,305,302,308,1011000,4.1,3.9,4.3,331449281,2020
ulcerative_colitis,378,375,382,1253000,6.3,6.1,6.6,331449281,2020
ibd_combined,,,,2390000,10.9,10.6,11.2,331449281,2020
