case_study_id,product_id,facility,product_description,indication,procurement,product_origin,specialized_equipment,runtime,batches_per_year,dose_yield_per_batch,dose_per_treatment_avg,materials_eur,materials_pct,equipment_eur,equipment_pct,personnel_eur,personnel_pct,facility_cost_eur,facility_cost_pct,total_per_batch_eur,total_per_batch_fixed_eur,total_per_batch_fixed_pct,total_per_batch_variable_eur,total_per_batch_variable_pct,failure_rate_pct,total_per_batch_after_failure_eur,total_per_batch_after_failure_fixed_eur,total_per_batch_after_failure_fixed_pct,total_per_batch_after_failure_variable_eur,total_per_batch_after_failure_variable_pct,treatment_yield_per_batch,total_per_treatment_eur,total_per_treatment_fixed_eur,total_per_treatment_variable_eur
1,A-1,A,Peptide pulsed tolerogenic dendritic cells,Type 1 diabetes mellitus,Apheresis,Allogeneic peripheral blood,Yes,7 days,2,2,2,15171,46,5862,18,9202,28,2801,8,33036,4206,13,28830,87,5,34688,4416,13,30272,87,1,NA,NA,NA
2,A-2,A,pp65-specific T cells,Refractory cytomegalovirus infection,Apheresis,Allogeneic peripheral blood,Yes,2 days,6,1,1,12801,58,2506,11,4997,23,1632,7,21936,4206,19,17730,81,5,23033,4416,19,18617,81,1,NA,NA,NA
3,A-3,A,Ex vivo expanded mesenchymal stromal cells,Immunomodulation and tissue regeneration,Bone marrow aspirate,Allogeneic bone marrow,Yes,28 days (range 21-35),14,2,2,11897,41,904,3,9747,33,6674,23,29221,4206,14,25016,86,5,30682,4416,14,26266,86,1,NA,NA,NA
4,B-4,B,Peptide-loaded natural dendritic cell vaccine,Stage III melanoma,Apheresis,Autologous peripheral blood,Yes,4 days,55,9,9,35096,69,2150,4,9384,18,4496,9,51126,9389,18,41738,82,5,53683,9858,18,43825,82,1,NA,NA,NA
5,B-5,B,Stem cell derived natural killer cells,"Acute myeloid leukemia, ovarian carcinoma",Umbilical cord blood,Allogeneic umbilical cord blood,Yes,35 days,9,1,1,13916,30,4063,9,15296,33,13162,28,46437,18908,41,27529,59,5,48759,19854,41,28905,59,1,NA,NA,NA
6,C-6,C,Monocyte-derived macrophages,Hepatic cirrhosis,Apheresis,Autologous peripheral blood,Yes,8 days,9,1,1,12542,39,7521,23,8147,25,4167,13,32376,5419,17,26957,83,5,33995,5690,17,28305,83,1,NA,NA,NA
7,C-7,C,Ex vivo expanded limbal stem cells,Ocular surface disorders,Tissue extraction,Allogeneic corneal tissue,Yes,15 days,10,1,1,6287,28,1604,7,10754,47,4167,18,22812,5598,25,17214,75,5,23952,5877,25,18075,75,1,NA,NA,NA
8,D-8,D,Anti-viral cytotoxic T lymphocytes,Post-operative lymphoproliferative disease,Apheresis,Allogeneic peripheral blood,Yes,21 days,6,88,4,34695,19,12247,7,35723,20,99047,54,181713,81958,45,99756,55,5,190799,86055,45,104743,55,22,8673,3912,4761
