"age_years","qx_prob_1yr","lx","dx","Lx","Tx","ex_years"
0,0.005575,100000,557,99513,7884823,78.8
1,0.000379,99443,38,99424,7785310,78.3
2,0.000234,99405,23,99393,7685886,77.3
3,0.00018,99382,18,99373,7586493,76.3
4,0.000145,99364,14,99357,7487120,75.4
5,0.000137,99349,14,99343,7387764,74.4
6,0.000124,99336,12,99330,7288421,73.4
7,0.000114,99323,11,99318,7189091,72.4
8,0.000105,99312,10,99307,7089774,71.4
9,0.000097,99302,10,99297,6990467,70.4
10,0.000095,99292,9,99287,6891170,69.4
11,0.000104,99282,10,99277,6791883,68.4
12,0.000131,99272,13,99266,6692606,67.4
13,0.000181,99259,18,99250,6593340,66.4
14,0.000248,99241,25,99229,6494090,65.4
15,0.000324,99217,32,99200,6394861,64.5
16,0.000401,99184,40,99165,6295661,63.5
17,0.000483,99145,48,99121,6196496,62.5
18,0.000569,99097,56,99069,6097375,61.5
19,0.000657,99040,65,99008,5998307,60.6
20,0.000748,98975,74,98938,5899299,59.6
21,0.000839,98901,83,98860,5800361,58.6
22,0.000917,98818,91,98773,5701501,57.7
23,0.000976,98728,96,98680,5602728,56.7
24,0.00102,98631,101,98581,5504048,55.8
25,0.001057,98531,104,98479,5405467,54.9
26,0.001097,98427,108,98373,5306988,53.9
27,0.001139,98319,112,98263,5208616,53
28,0.00119,98207,117,98148,5110353,52
29,0.001248,98090,122,98029,5012205,51.1
30,0.001309,97967,128,97903,4914176,50.2
31,0.001371,97839,134,97772,4816273,49.2
32,0.001436,97705,140,97635,4718501,48.3
33,0.0015,97565,146,97492,4620866,47.4
34,0.001564,97418,152,97342,4523374,46.4
35,0.001636,97266,159,97186,4426032,45.5
36,0.001711,97107,166,97024,4328846,44.6
37,0.001782,96941,173,96854,4231822,43.7
38,0.001847,96768,179,96679,4134967,42.7
39,0.001912,96589,185,96497,4038289,41.8
40,0.00199,96404,192,96309,3941792,40.9
41,0.002087,96213,201,96112,3845483,40
42,0.002205,96012,212,95906,3749371,39.1
43,0.002344,95800,225,95688,3653465,38.1
44,0.002501,95576,239,95456,3557777,37.2
45,0.002679,95336,255,95209,3462321,36.3
46,0.002877,95081,274,94944,3367112,35.4
47,0.003094,94808,293,94661,3272168,34.5
48,0.003334,94514,315,94357,3177507,33.6
49,0.003608,94199,340,94029,3083151,32.7
50,0.003904,93859,366,93676,2989121,31.8
51,0.004238,93493,396,93295,2895445,31
52,0.004639,93097,432,92881,2802151,30.1
53,0.005107,92665,473,92428,2709270,29.2
54,0.005615,92191,518,91933,2616842,28.4
55,0.006123,91674,561,91393,2524910,27.5
56,0.00663,91112,604,90810,2433517,26.7
57,0.007167,90508,649,90184,2342706,25.9
58,0.007754,89860,697,89511,2252522,25.1
59,0.008394,89163,748,88789,2163011,24.3
60,0.00909,88415,804,88013,2074222,23.5
61,0.009808,87611,859,87181,1986209,22.7
62,0.010518,86751,912,86295,1899028,21.9
63,0.011202,85839,962,85358,1812733,21.1
64,0.01189,84877,1009,84373,1727375,20.4
65,0.012621,83868,1059,83339,1643002,19.6
66,0.013499,82810,1118,82251,1559663,18.8
67,0.014468,81692,1182,81101,1477412,18.1
68,0.015571,80510,1254,79883,1396311,17.3
69,0.016804,79256,1332,78590,1316428,16.6
70,0.018143,77924,1414,77218,1237837,15.9
71,0.019683,76511,1506,75758,1160620,15.2
72,0.021193,75005,1590,74210,1084862,14.5
73,0.023529,73415,1727,72551,1010652,13.8
74,0.025583,71688,1834,70771,938101,13.1
75,0.028288,69854,1976,68866,867330,12.4
76,0.030996,67878,2104,66826,798464,11.8
77,0.034485,65774,2268,64640,731638,11.1
78,0.038071,63506,2418,62297,666999,10.5
79,0.042153,61088,2575,59800,604702,9.9
80,0.046589,58513,2726,57150,544902,9.3
81,0.051588,55787,2878,54348,487752,8.7
82,0.057742,52909,3055,51381,433404,8.2
83,0.06454,49854,3218,48245,382023,7.7
84,0.071641,46636,3341,44966,333778,7.2
85,0.080529,43295,3487,41552,288812,6.7
86,0.089744,39809,3573,38022,247260,6.2
87,0.10048,36236,3641,34416,209238,5.8
88,0.11225,32595,3659,30766,174822,5.4
89,0.125094,28936,3620,27126,144057,5
90,0.139038,25317,3520,23557,116930,4.6
91,0.154096,21797,3359,20117,93374,4.3
92,0.170257,18438,3139,16868,73256,4
93,0.187494,15299,2868,13864,56388,3.7
94,0.205752,12430,2558,11151,42524,3.4
95,0.224954,9873,2221,8762,31372,3.2
96,0.244995,7652,1875,6714,22610,3
97,0.265747,5777,1535,5010,15896,2.8
98,0.28706,4242,1218,3633,10886,2.6
99,0.308767,3024,934,2557,7253,2.4
100,1,2090,2090,4696,4696,2.2
